,x5,y5,z5,c5,x6,y6,z6,c6,x7,y7,z7,c7,
343,-1048,299,-196,-600,-828,219,148,-684,-820,283,-184,224,
344,-1048,300,-180,-628,-800,217,152,-716,-804,283,-156,208,
345,-1048,301,-172,-624,-816,218,148,-688,-792,284,-176,204,
346,-1052,295,-184,-632,-800,217,144,-680,-768,285,-184,188,
347,-1052,299,-180,-624,-772,217,164,-712,-772,284,-176,172,
348,-1060,296,-180,-648,-768,219,152,-740,-760,284,-172,152,
349,-1064,299,-188,-680,-748,218,152,-732,-748,283,-168,128,
350,-1080,297,-208,-684,-760,218,176,-724,-732,286,-168,100,
351,-1072,297,-212,-720,-736,216,164,-756,-724,284,-180,96,
352,-1072,297,-200,-716,-720,218,176,-752,-708,284,-164,84,
353,-1068,299,-196,-728,-720,215,184,-764,-708,282,-164,72,
354,-1076,297,-192,-728,-720,215,192,-744,-700,282,-156,68,
355,-1080,297,-180,-720,-708,215,196,-764,-696,283,-156,52,
356,-1076,300,-176,-728,-720,215,204,-772,-680,282,-148,40,
357,-1076,298,-168,-736,-692,216,208,-772,-680,282,-156,28,
358,-1076,298,-152,-756,-704,216,212,-780,-664,280,-148,24,
359,-1076,297,-136,-760,-700,215,208,-796,-648,283,-156,20,
360,-1084,300,-136,-760,-680,216,212,-796,-648,282,-148,4,
361,-1084,294,-140,-760,-688,215,220,-804,-640,281,-140,8,
362,-1080,293,-140,-776,-684,215,224,-796,-636,281,-136,0,
363,-1080,299,-140,-776,-668,215,228,-800,-632,281,-144,0,
364,-1080,297,-140,-764,-676,214,228,-800,-620,281,-136,-20,
365,-1112,298,-128,-780,-664,211,236,-832,-612,280,-132,-20,
366,-1112,298,-116,-764,-644,215,220,-812,-596,280,-132,-32,
367,-1076,296,-124,-788,-636,215,232,-840,-588,280,-140,-64,
368,-1084,298,-124,-788,-628,214,240,-812,-572,279,-136,-60,
369,-1068,296,-120,-820,-612,214,244,-812,-552,280,-132,-72,
370,-1080,296,-108,-812,-604,214,236,-832,-556,278,-120,-96,
371,-1076,296,-144,-828,-588,216,260,-860,-528,277,-116,-128,
372,-1076,297,-160,-828,-564,216,268,-812,-528,278,-108,-160,
373,-1064,299,-136,-856,-560,218,296,-900,-516,278,-92,-188,Pose2
374,-1064,301,-116,-904,-516,218,276,-896,-492,276,-100,-212,
375,-1056,300,-132,-884,-520,219,276,-900,-484,278,-108,-220,
376,-1060,301,-124,-896,-492,219,280,-892,-472,277,-96,-248,
377,-1052,299,-136,-920,-480,218,288,-880,-464,276,-88,-272,
378,-1060,303,-116,-940,-496,216,292,-916,-436,275,-76,-284,
379,-1036,304,-116,-940,-496,216,280,-928,-436,276,-76,-292,
380,-1052,302,-120,-944,-468,215,292,-908,-416,276,-80,-276,
381,-1044,301,-120,-944,-464,216,292,-896,-428,276,-76,-284,
382,-1048,301,-124,-924,-476,216,308,-924,-424,276,-84,-284,
383,-1048,301,-112,-952,-468,217,300,-916,-428,275,-92,-280,
384,-1060,301,-136,-920,-468,218,264,-912,-420,277,-80,-288,
385,-1036,302,-112,-936,-468,219,296,-916,-432,278,-80,-304,
386,-1044,301,-96,-960,-448,217,300,-896,-416,276,-80,-288,
387,-1040,302,-116,-960,-452,216,308,-916,-416,276,-76,-284,
388,-1040,300,-116,-916,-448,217,284,-916,-392,277,-72,-296,
389,-1040,306,-104,-948,-444,217,296,-900,-408,277,-76,-292,
390,-1032,302,-112,-944,-432,215,304,-920,-416,276,-76,-288,
391,-1048,303,-112,-960,-440,217,276,-904,-400,275,-68,-296,
392,-1044,302,-104,-932,-448,217,288,-904,-412,278,-80,-288,
393,-1048,300,-96,-940,-444,218,300,-920,-424,277,-64,-292,
394,-1048,300,-100,-924,-452,216,280,-912,-416,278,-80,-300,
395,-1036,305,-100,-956,-424,217,284,-908,-400,277,-64,-304,
396,-1036,302,-104,-956,-428,219,284,-924,-404,277,-64,-304,
397,-1040,302,-80,-964,-436,216,296,-920,-404,277,-52,-296,
398,-1032,302,-88,-924,-428,216,284,-900,-420,278,-60,-296,
399,-1044,305,-80,-936,-440,215,288,-908,-412,276,-64,-304,
400,-1040,305,-84,-936,-452,216,300,-904,-412,277,-64,-288,
401,-1044,299,-88,-952,-428,217,292,-916,-420,277,-60,-300,
402,-1040,305,-96,-932,-428,219,256,-908,-420,281,-52,-324,
403,-1044,302,-48,-956,-420,218,268,-916,-408,280,-68,-320,
404,-1032,302,-84,-928,-412,216,280,-900,-412,278,-80,-312,
