time (source1),c1,time (source1),x2,time (source1),y2,time (source1),z2,time (source1),p2,time (source1),r2,time (source1),c2,time (source1),x3,time (source1),y3,time (source1),z3,time (source1),p3,time (source1),r3,time (source1),c3,time (source1),x4,time (source1),y4,time (source1),z4,time (source1),p4,time (source1),r4,time (source1),c4,time (source1),x5,time (source1),y5,time (source1),z5,time (source1),p5,time (source1),r5,time (source1),c5,time (source1),x6,time (source1),y6,time (source1),z6,time (source1),p6,time (source1),r6,time (source1),c6,time (source1),x7,time (source1),y7,time (source1),z7,time (source1),p7,time (source1),r7,time (source1),c7,time (source1),x8,time (source1),y8,time (source1),z8,time (source1),p8,time (source1),r8,time (source1),c8,time (source1),x1,time (source1),y1,time (source1),z1,time (source1),p1,time (source1),r1,Adjusted time,Movements
56.476,0,56.488,0,57.191,0,56.482,0,56.466,0,56.473,0,56.471,0,55.732,0,55.727,0,55.729,0,55.724,0,55.708,0,55.702,0,55.703,0,55.715,0,55.714,0,55.708,0,55.711,0,55.705,0,55.711,-52,55.71,-584,55.717,-892,55.723,-33,55.727,-3,55.728,188,55.744,-132,55.727,-1052,55.724,-72,55.723,-82,55.728,-51,56.448,221,56.442,220,56.444,-984,56.437,224,56.445,-107,56.434,136,56.441,61,56.447,48,56.436,80,56.434,-1008,56.425,3,56.439,2,56.445,189,57.107,0,57.12,0,57.113,0,56.454,0,56.453,0,30.073,
57.19,0,57.192,0,57.844,0,57.186,0,57.181,0,57.193,0,57.176,0,56.459,0,56.463,0,56.458,0,56.457,0,56.457,0,56.461,0,56.455,0,56.469,0,56.468,0,56.46,0,56.461,0,56.455,0,56.463,-52,56.469,-580,56.464,-888,56.455,-33,56.454,-3,56.448,189,56.438,-136,56.44,-1068,56.44,-80,56.435,-82,56.447,-54,57.139,228,57.126,232,57.132,-996,57.129,248,57.115,-108,57.115,135,57.108,66,57.102,48,57.104,48,57.099,-1008,57.117,2,57.115,2,57.11,188,57.802,0,57.803,0,57.807,0,57.097,0,57.109,0,30.738,
57.85,0,57.844,0,58.548,0,57.835,0,57.831,0,57.84,0,57.828,0,57.177,0,57.166,0,57.161,0,57.161,0,57.143,0,57.138,0,57.145,0,57.157,0,57.156,0,57.154,0,57.162,0,57.151,0,57.151,-48,57.158,-580,57.169,-904,57.167,-32,57.166,-3,57.157,189,57.143,-116,57.139,-1044,57.133,-80,57.12,-83,57.127,-62,57.79,239,57.787,200,57.793,-996,57.787,204,57.791,-107,57.776,137,57.791,58,57.793,16,57.792,32,57.782,-1008,57.772,0,57.784,0,57.789,187,58.508,0,58.51,0,58.511,0,57.803,0,57.807,0,31.417,End of pose 3
58.538,0,58.555,0,59.27,0,58.55,0,58.554,0,58.553,0,58.542,0,57.824,0,57.812,0,57.801,0,57.788,0,57.777,0,57.771,0,57.768,0,57.768,0,57.768,0,57.772,0,57.766,0,57.754,0,57.761,-84,57.766,-548,57.773,-888,57.768,-32,57.773,-4,57.773,188,57.768,-88,57.763,-1040,57.763,-72,57.764,-84,57.774,-48,58.51,244,58.513,260,58.515,-940,58.519,280,58.526,-107,58.514,134,58.511,52,58.51,16,58.509,0,58.512,-1008,58.503,0,58.503,0,58.532,186,59.226,0,59.244,0,59.239,0,58.513,0,58.515,0,32.16,
59.244,0,59.252,0,59.987,0,59.253,0,59.242,0,59.241,0,59.231,0,58.543,0,58.552,0,58.541,0,58.536,0,58.524,0,58.524,0,58.519,0,58.532,0,58.537,0,58.531,0,58.532,0,58.525,0,58.532,-52,58.539,-604,58.54,-876,58.543,-33,58.545,-4,58.533,188,58.531,-128,58.519,-1096,58.508,-24,58.508,-84,58.506,-68,59.219,299,59.225,164,59.232,-964,59.228,372,59.236,-112,59.223,154,59.221,37,59.227,-32,59.22,-80,59.223,-992,59.207,-2,59.219,-1,59.221,185,59.993,0,59.994,0,60.001,0,59.236,0,59.242,0,32.849,
59.983,0,59.995,0,60.721,0,59.982,0,59.989,0,59.989,0,59.979,0,59.218,0,59.222,0,59.217,0,59.223,0,59.219,0,59.212,0,59.219,0,59.225,0,59.243,0,59.23,0,59.229,0,59.218,0,59.219,-52,59.224,-636,59.232,-852,59.223,-36,59.222,-4,59.224,185,59.213,-88,59.213,-1116,59.218,132,59.212,-98,59.219,-142,59.993,244,59.988,32,59.995,-904,59.985,520,59.984,-117,59.978,-178,59.988,15,59.982,-160,59.976,-160,59.977,-960,59.966,-12,59.993,-7,59.988,186,60.606,0,60.609,0,60.61,0,60.001,0,59.999,0,33.616,
60.729,0,60.734,0,61.347,0,60.717,0,60.714,0,60.702,0,60.696,0,59.988,0,59.977,0,59.987,0,59.975,0,59.971,0,59.969,0,59.971,0,59.983,0,59.984,0,59.982,0,59.988,0,59.976,0,59.977,-172,59.989,-620,59.99,-876,59.99,-35,59.991,-17,59.991,194,59.985,-416,59.975,-928,59.984,-48,59.985,-77,59.992,-82,60.609,248,60.603,104,60.616,-904,60.605,252,60.598,-111,60.599,160,60.6,28,60.594,-112,60.594,-192,60.582,-976,60.586,-10,60.587,-4,60.59,186,61.363,0,61.363,0,61.375,0,60.634,0,60.622,0,34.218,
61.361,0,61.355,0,62.087,0,61.361,0,61.352,0,61.345,0,61.349,0,60.683,0,60.679,0,60.688,0,60.675,0,60.652,0,60.642,0,60.648,0,60.653,0,60.646,0,60.651,0,60.651,0,60.638,0,60.649,-136,60.645,-628,60.641,-836,60.636,-35,60.643,-10,60.633,193,60.619,-108,60.62,-948,60.614,72,60.596,-76,60.607,-82,61.359,335,61.346,224,61.359,-904,61.375,508,61.36,-122,61.354,142,61.365,32,61.355,32,61.348,-304,61.356,-960,61.34,-16,61.345,6,61.367,173,62.118,0,62.16,0,62.148,0,61.378,0,61.37,0,34.995,
62.095,0,62.097,0,62.886,0,62.075,0,62.078,0,62.073,0,62.061,0,61.331,0,61.336,0,61.343,0,61.325,0,61.321,0,61.309,0,61.319,0,61.319,0,61.329,0,61.329,0,61.322,0,61.31,0,61.313,4,61.325,-640,61.326,-844,61.332,-37,61.354,-5,61.342,176,61.345,84,61.334,-1008,61.341,188,61.346,-97,61.343,151,62.088,160,62.082,160,62.099,-896,62.104,340,62.104,-110,62.094,167,62.108,9,62.096,96,62.096,-368,62.101,-1072,62.089,-10,62.099,8,62.105,163,63.001,0,63.019,0,63.029,0,62.14,0,62.149,0,35.733,
62.892,0,62.893,0,63.778,0,62.894,0,62.897,0,62.898,0,62.892,0,62.06,0,62.063,0,62.058,0,62.051,0,62.058,0,62.046,0,62.048,0,62.066,0,62.059,0,62.062,0,62.056,0,62.049,0,62.063,28,62.062,-504,62.075,-928,62.076,-28,62.08,2,62.074,173,62.071,-16,62.081,-1060,62.082,-208,62.076,-78,62.098,2,62.946,196,62.945,20,62.958,-1004,62.96,204,62.958,-97,62.965,147,62.971,84,62.965,-160,62.963,-48,62.969,-1008,62.968,-2,62.974,-11,62.996,192,63.814,0,63.821,0,63.826,0,63.023,0,63.044,0,36.624,
