,x1,y1,z1,x3,y3,z3,y1_var,y1_resampled,y1_actual_signal
60,352,392,352.0,404.0,320.0,324.0,22588.160000000003,,-500.0
61,320,376,320.0,228.0,320.0,344.0,32188.96,,-1168.0
62,192,168,140.0,168.0,56.0,284.0,46647.840000000004,,-428.0
63,64,176,-32.0,116.0,-32.0,60.0,82467.36,,-144.0
64,-88,88,-156.0,4.0,-156.0,-16.0,107636.0,,-108.0
65,-300,-56,-300.0,-56.0,-300.0,-56.0,114557.43999999999,,-192.0
66,-300,-56,-300.0,-48.0,-300.0,-48.0,114813.43999999999,,-124.0
67,-300,-48,-300.0,-48.0,-524.0,-360.0,107824.64000000001,,-168.0
68,-524,-508,-612.0,-508.0,-612.0,-516.0,105337.76000000001,,-232.0
69,-640,-592,-640.0,-592.0,-640.0,-592.0,93491.2,,-216.0
70,-640,-592,-640.0,-524.0,-720.0,-524.0,93836.16000000002,,-108.0
71,-720,-660,-772.0,-824.0,-804.0,-612.0,9351.84,,-316.0
72,-844,-612,-812.0,-708.0,-812.0,-708.0,3910.56,,-220.0
73,-836,-684,-804.0,-804.0,-844.0,-836.0,3750.4,,-196.0
74,-844,-860,-820.0,-804.0,-892.0,-756.0,3064.96,,-180.0
75,-892,-952,-892.0,-952.0,-892.0,-852.0,3211.04,,-236.0
76,-892,-792,-892.0,-976.0,-788.0,-808.0,2646.56,,-236.0
77,-872,-872,-872.0,-872.0,-872.0,-872.0,2443.04,,-216.0
78,-872,-872,-904.0,-896.0,-860.0,-1048.0,2413.44,,-212.0
79,-860,-1048,-860.0,-1048.0,-860.0,-1048.0,2416.8,,-220.0
80,-860,-1048,-860.0,-1048.0,-784.0,-772.0,,,
81,-784,-848,-784.0,-848.0,-784.0,-804.0,,,
82,-784,-968,-800.0,-972.0,-800.0,-964.0,,,
83,-800,-964,-800.0,-964.0,-792.0,-1004.0,,,
84,-776,-644,-956.0,-844.0,-572.0,-1120.0,,,
85,-572,-1120,-856.0,-2040.0,-960.0,-304.0,,,
86,-864,-1272,-880.0,-908.0,-896.0,-932.0,,,
87,-824,-1000,-920.0,-900.0,-836.0,-836.0,,,
88,-836,-984,-840.0,-972.0,-824.0,-888.0,,,
89,-860,-1004,-808.0,-956.0,-876.0,-956.0,,,
90,-836,-916,-856.0,-924.0,-856.0,-912.0,,,
91,-852,-912,-884.0,-856.0,-856.0,-936.0,,,
92,-856,-912,-868.0,-896.0,-880.0,-972.0,,,
93,-936,-848,-892.0,-884.0,-944.0,-944.0,,,
94,-856,-928,-920.0,-972.0,-848.0,-880.0,,,
95,-888,-912,-880.0,-908.0,-880.0,-908.0,,,
96,-880,-908,-908.0,-912.0,-908.0,-920.0,,,
97,-908,-956,-872.0,-880.0,-872.0,-880.0,,,
98,-872,-880,-872.0,-880.0,-892.0,-940.0,,,
99,-864,-952,-864.0,-952.0,-864.0,-952.0,,,
100,-864,-952,-860.0,-952.0,-860.0,-952.0,,,
101,-860,-952,-892.0,-952.0,-900.0,-928.0,,,
102,-900,-928,-904.0,-892.0,-904.0,-944.0,,,
103,-904,-952,-872.0,-952.0,-892.0,-928.0,,,
104,-892,-928,-880.0,-944.0,-916.0,-944.0,,,
105,-872,-928,-872.0,-928.0,-872.0,-928.0,,,
106,-872,-928,-872.0,-928.0,-900.0,-936.0,,,
107,-900,-936,-900.0,-936.0,-896.0,-952.0,,,
108,-880,-928,-900.0,-940.0,-884.0,-948.0,,,
109,-892,-928,-872.0,-932.0,-900.0,-944.0,,,
110,-888,-932,-892.0,-952.0,-888.0,-916.0,,,
111,-908,-956,-884.0,-920.0,-896.0,-952.0,,,
112,-880,-952,-892.0,-932.0,-876.0,-944.0,,,
113,-880,-936,-884.0,-920.0,-900.0,-952.0,,,
114,-904,-952,-896.0,-948.0,-920.0,-960.0,,,
115,-912,-944,-948.0,-944.0,-948.0,-944.0,,,
116,-948,-944,-948.0,-944.0,-916.0,-952.0,,,
117,-880,-944,-916.0,-964.0,-908.0,-948.0,,,
118,-888,-940,-908.0,-936.0,-928.0,-948.0,,,
119,-912,-952,-936.0,-948.0,-912.0,-936.0,,,
120,-904,-976,-912.0,-924.0,-908.0,-984.0,,,
121,-908,-940,-920.0,-936.0,-916.0,-924.0,,,
122,-928,-972,-920.0,-924.0,-904.0,-940.0,,,
123,-916,-912,-920.0,-960.0,-924.0,-936.0,,,
124,-924,-960,-908.0,-948.0,-904.0,-932.0,,,
125,-908,-932,-908.0,-928.0,-900.0,-932.0,,,
126,-924,-944,-912.0,-932.0,-904.0,-928.0,,,
127,-912,-948,-912.0,-948.0,-912.0,-948.0,,,
128,-884,-948,-884.0,-948.0,-884.0,-948.0,,,
129,-900,-940,-900.0,-940.0,-900.0,-940.0,,,
130,-888,-912,-900.0,-912.0,-900.0,-956.0,,,
131,-920,-956,-916.0,-940.0,-912.0,-940.0,,,
